Facility,Date,Scheduled,Scheduled,Departures,Arrivals,% On-Time,% On-Time,% On-Time,Average,Average,Average,Average,Average,Average,Average,Average
,,Departures,Arrivals,For Metric,For Metric,Gate,Airport,Gate,Gate,Taxi,Taxi,Airport,Airborne,Taxi,Block,Gate
,,,,Computation,Computation,Departures,Departures,Arrivals,Departure,Out,Out,Departure,Delay,In,Delay,Arrival
,,,,,,,,,Delay,Time,Delay,Delay,,Delay,,Delay
ABQ,01/1998,"4,577","4,548","4,560","4,575",82.61,81.54,83.67,8.57,9.23,1.91,9.73,1.28,0.55,1.98,7.93
ABQ,02/1998,"4,224","4,213","4,256","4,242",78.88,76.22,80.43,10.33,9.46,2.06,11.68,1.76,0.53,2.62,9.19
ABQ,03/1998,"4,647","4,643","4,676","4,669",80.52,78.04,79.76,9.05,9.73,1.99,10.52,1.63,0.5,2.81,9.61
ABQ,04/1998,"4,495","4,494","4,546","4,529",85.44,82.64,83,6.99,10.06,2.19,8.68,1.57,0.59,3.09,8.21
ABQ,05/1998,"4,641","4,644","4,541","4,555",86.57,84.87,84.15,6.77,9.35,1.63,7.93,1.5,0.5,2.5,7.68
ABQ,06/1998,"4,501","4,475","4,542","4,544",85.78,82.83,82.99,7.21,10.08,2.14,8.8,1.62,0.41,2.76,9.06
ABQ,07/1998,"4,623","4,649","4,649","4,662",84.79,82.4,84.26,7.64,9.42,1.73,8.8,1.78,0.56,2.66,7.84
ABQ,08/1998,"4,522","4,519","4,602","4,589",85.79,84.25,84.35,7.34,9.03,1.39,8.19,1.44,0.51,2.55,7.72
ABQ,09/1998,"4,314","4,312","4,316","4,311",86.77,85.08,87.94,6.06,8.88,1.49,6.99,1.34,0.47,1.8,5.79
ABQ,10/1998,"4,422","4,422","4,528","4,534",83.55,81.47,82.93,7.85,9.36,1.85,9.13,1.79,0.51,3.02,8.8
ABQ,11/1998,"4,181","4,181","4,203","4,230",85.61,84.58,86,6.73,8.67,1.33,7.48,1.31,0.43,2.08,6.63
ABQ,12/1998,"4,195","4,195","4,429","4,415",78.08,76.72,77.8,10.4,8.79,1.5,11.17,1.31,0.56,2.45,10.81
ABQ,01/1999,"4,259","4,265","4,257","4,278",84.26,82.45,82.47,7.42,8.97,1.68,8.36,1.32,0.54,2.35,8.65
ABQ,02/1999,"3,927","3,928","3,916","3,926",89.4,87.49,87.93,5.15,9.26,1.84,6.3,1.28,0.59,2.1,5.8
ABQ,03/1999,"4,386","4,384","4,313","4,344",84.58,82.03,83.91,7.31,9.73,1.99,8.81,1.74,0.75,2.65,7.6
ABQ,04/1999,"4,273","4,271","4,354","4,375",84.93,81.76,81.03,7.23,10.11,2.22,8.92,1.87,0.65,3.05,9.01
ABQ,05/1999,"4,243","4,243","4,438","4,458",85.08,81.03,81.88,7.24,10.46,2.57,9.2,1.73,0.67,2.75,8.68
ABQ,06/1999,"4,227","4,227","4,413","4,447",81.28,77.25,76.93,8.96,10.4,2.54,10.9,1.96,0.77,3.41,11.18
ABQ,07/1999,"4,355","4,356","4,616","4,645",82.21,79.59,79.59,8.78,9.95,2.13,10.33,1.62,0.79,2.75,9.92
ABQ,08/1999,"4,616","4,616","4,658","4,663",85.44,83.17,82.89,6.64,9.67,1.92,8.02,1.58,0.76,2.6,8.11
ABQ,09/1999,"4,401","4,400","4,416","4,417",86.62,85.01,85.37,5.99,9.32,1.83,7.2,1.38,0.63,2.36,6.88
ABQ,10/1999,"4,433","4,413","4,501","4,516",86.18,84.23,84.63,6.18,9.2,1.76,7.36,1.2,0.59,1.87,7.02
ABQ,11/1999,"4,323","4,321","4,313","4,304",85.83,85.02,86.43,6.58,8.7,1.42,7.37,1.04,0.5,1.61,6.37
ABQ,12/1999,"4,465","4,457","4,447","4,455",83.02,81.81,82.18,7.75,8.95,1.7,8.72,1.26,0.62,2.2,7.93
ABQ,01/2000,"4,313","4,323","4,467","4,504",85.63,84.35,83.75,6.52,8.81,1.69,7.42,1.45,0.46,2.61,7.56
ABQ,02/2000,"4,115","4,125","4,296","4,308",81.59,79.66,81.64,8.29,9.32,2.04,9.54,1.6,0.55,2.38,8.63
ABQ,03/2000,"4,389","4,400","4,674","4,682",77.24,74.3,75.44,10.62,9.77,2.08,12.15,2.26,0.61,3.47,11.76
ABQ,04/2000,"4,295","4,311","4,482","4,484",83.53,79.96,81.51,7.54,9.78,2.06,9.03,1.8,0.6,2.36,8.68
ABQ,05/2000,"4,493","4,510","4,723","4,718",81.35,78.47,80.33,8.59,10.17,2.36,10.42,1.76,0.58,2.48,9.23
